SSN,Country,Site,Cluster,Plot,DepthTop,DepthBottom,Depthcode,Year,SOC,TN,pH,ExBas,ExCa,ExMg,ExK,ExNa,Sand,Clay
wa037483,Eswatini,ludzeludze,13,2,0,20,Topsoil,2020,22.096,1.8596,4.8712,3.25,1.7293,1.0141,0.3202,0.1111,8.4057,76.6981
wa037484,Eswatini,ludzeludze,13,3,0,20,Topsoil,2020,21.5335,1.7578,4.9403,3.06,1.5312,1.0405,0.2892,0.1069,11.006,74.0761
wa037485,Eswatini,ludzeludze,13,6,0,20,Topsoil,2020,16.8708,1.4667,4.8034,2.6401,1.4363,0.8641,0.232,0.1015,12.6725,73.504
wa037486,Eswatini,ludzeludze,13,8,20,50,Subsoil,2020,23.1712,1.9521,5.0523,3.628,2.0464,1.1519,0.335,0.1129,10.4982,75.1341
wa037487,Eswatini,ludzeludze,13,9,0,20,Topsoil,2020,24.7706,2.2258,4.9111,2.7514,1.5124,0.8494,0.2604,0.1326,12.9737,68.8485
wa037488,Eswatini,ludzeludze,13,12,0,20,Topsoil,2020,18.551,1.6462,5.0407,3.9203,2.3015,1.2177,0.3113,0.1255,17.3086,65.8496
wa037489,Eswatini,ludzeludze,13,12,20,50,Subsoil,2020,17.0214,1.5325,4.9941,3.3621,2.0021,1.017,0.2696,0.1062,19.6486,64.2918
wa037490,Eswatini,ludzeludze,13,13,20,50,Subsoil,2020,19.7776,1.5954,4.8071,2.7018,1.4551,0.8672,0.2697,0.1205,9.0687,76.6751
wa037491,Eswatini,ludzeludze,14,2,0,20,Topsoil,2020,13.2366,0.9796,4.8817,2.0521,0.9237,0.8017,0.3556,0.124,33.0112,42.4622
wa037492,Eswatini,ludzeludze,14,2,20,50,Subsoil,2020,14.6168,1.2222,5.0049,1.9837,0.8211,0.7387,0.3316,0.1253,27.5961,54.1316
wa037493,Eswatini,ludzeludze,14,3,0,20,Topsoil,2020,14.505,1.296,5.2575,3.7011,2.3349,1.0942,0.2854,0.1254,25.8606,58.519
wa037494,Eswatini,ludzeludze,14,5,0,20,Topsoil,2020,28.6858,2.7234,4.9585,3.5233,1.9661,1.2841,0.3002,0.1189,17.3882,63.0701
wa037495,Eswatini,ludzeludze,14,5,20,50,Subsoil,2020,18.0094,1.6365,5.1844,3.3422,1.8876,1.1911,0.2626,0.0977,18.1069,66.6236
wa037496,Eswatini,ludzeludze,14,7,0,20,Topsoil,2020,17.7247,1.5688,5.1061,4.0349,2.3908,1.2659,0.3968,0.1474,20.3435,60.0306
wa037497,Eswatini,ludzeludze,14,12,0,20,Topsoil,2020,17.5933,1.4102,4.9645,2.4142,1.2208,0.8046,0.2527,0.1002,19.2921,67.2929
wa037498,Eswatini,ludzeludze,14,13,0,20,Topsoil,2020,16.416,1.4591,4.7285,2.4638,1.2468,0.8742,0.25,0.1236,16.2741,68.4666
wa037499,Eswatini,ludzeludze,14,13,20,50,Subsoil,2020,13.025,1.1349,4.8759,2.1234,0.9987,0.7413,0.204,0.1082,20.8123,63.936
wa037500,Eswatini,ludzeludze,14,14,0,20,Topsoil,2020,25.4959,2.196,4.9845,3.2002,1.7311,1.0697,0.2818,0.129,15.7783,66.3613
wa037501,Eswatini,ludzeludze,15,1,0,20,Topsoil,2020,6.5381,0.6728,5.1481,1.743,0.7985,0.7111,0.1524,0.1263,9.2137,80.8978
wa037502,Eswatini,ludzeludze,15,1,20,50,Subsoil,2020,15.9602,1.4933,5.0254,2.4232,1.1408,1.056,0.1557,0.0976,12.9233,72.2619
wa037503,Eswatini,ludzeludze,15,2,0,20,Topsoil,2020,24.8338,2.0615,4.7682,2.8517,1.6003,0.7788,0.3235,0.1228,19.5316,59.9883
wa037504,Eswatini,ludzeludze,15,7,0,20,Topsoil,2020,18.63,1.6915,5.677,6.0973,4.0815,1.6529,0.4486,0.112,21.8878,59.923
wa037505,Eswatini,ludzeludze,15,8,0,20,Topsoil,2020,19.1053,1.8255,5.4484,6.4389,4.1118,1.8101,0.4716,0.1196,31.102,42.624
wa037506,Eswatini,ludzeludze,15,10,0,20,Topsoil,2020,21.4101,2.0247,5.2046,5.757,3.4142,1.789,0.4997,0.3051,23.5242,51.1988
wa037507,Eswatini,ludzeludze,15,11,0,20,Topsoil,2020,17.1025,1.4349,5.0907,2.9851,1.6203,0.9894,0.2414,0.0912,21.5468,60.6657
wa037508,Eswatini,ludzeludze,15,12,20,50,Subsoil,2020,13.9703,1.3196,5.2457,4.1703,2.5144,1.4015,0.3453,0.1224,17.6503,64.8553
wa037509,Eswatini,ludzeludze,16,2,0,20,Topsoil,2020,28.3578,2.3184,5.1621,5.8716,3.5584,1.7362,0.5889,0.1434,12.1126,69.6387
wa037510,Eswatini,ludzeludze,16,6,0,20,Topsoil,2020,34.6703,2.8007,5.4795,10.4638,6.7281,2.7876,0.7338,0.1517,11.5803,68.6859
wa037511,Eswatini,ludzeludze,16,10,0,20,Topsoil,2020,2.5932,0.2325,5.9657,2.0003,1.2964,0.5165,0.1312,0.1379,82.0264,9.1617
wa037512,Eswatini,ludzeludze,16,14,0,20,Topsoil,2020,2.756,0.2765,6.3038,2.1392,1.3118,0.6177,0.1844,0.1175,81.7395,10.0617
wa037513,Eswatini,ludzeludze,16,14,20,50,Subsoil,2020,2.5345,0.2661,6.202,1.7423,1.0572,0.5095,0.1264,0.1018,80.5343,10.2663
wa037514,Eswatini,ludzeludze,1,1,0,20,Topsoil_CM,2020,4.1123,0.822,5.1285,3.997,2.3984,1.3433,0.2924,0.305,9.8547,82.4198
wa037515,Eswatini,ludzeludze,1,4,0,20,Topsoil_CM,2020,22.9011,2.134,4.7904,3.3065,1.8984,1.0562,0.3163,0.1718,7.8518,79.084
wa037516,Eswatini,ludzeludze,1,5,0,20,Topsoil_CM,2020,11.8369,0.9751,5.0868,2.6568,1.4568,0.8613,0.284,0.1161,25.0817,57.6484
wa037517,Eswatini,ludzeludze,1,5,20,50,Subsoil_CM,2020,7.368,0.6654,5.4201,3.3844,1.8971,1.0553,0.2792,0.129,28.6601,56.2885
wa037518,Eswatini,ludzeludze,1,8,0,20,Topsoil_CM,2020,20.9677,1.9323,4.754,3.0827,1.8133,0.9692,0.2848,0.1554,6.1365,82.6683
wa037519,Eswatini,ludzeludze,1,8,20,27,Subsoil_CM,2020,19.9293,1.8319,4.8118,2.9726,1.8412,0.9566,0.2772,0.1572,6.4709,83.5217
wa037520,Eswatini,ludzeludze,1,9,0,20,Topsoil_CM,2020,13.5561,1.1991,4.7551,3.9686,2.2745,1.4026,0.3042,0.1791,15.0628,65.472
wa037521,Eswatini,ludzeludze,1,9,20,50,Subsoil_CM,2020,10.8072,1.1415,4.8867,3.7381,2.3425,1.2625,0.3345,0.2182,16.9176,64.657
wa037522,Eswatini,ludzeludze,1,12,0,20,Topsoil_CM,2020,29.0066,2.6327,4.9432,3.8471,2.1959,1.1487,0.3334,0.129,25.7151,53.5399
wa037523,Eswatini,ludzeludze,1,13,20,50,Subsoil_CM,2020,22.5931,1.9528,4.8336,3.3481,1.8212,1.2063,0.2685,0.1372,13.1495,69.72
wa037524,Eswatini,ludzeludze,1,15,0,20,Topsoil_CM,2020,9.7236,0.9574,5.1282,2.6892,1.5906,0.8224,0.1943,0.1055,17.9956,66.3126
wa037525,Eswatini,ludzeludze,1,15,20,50,Subsoil_CM,2020,16.0896,1.399,4.8086,2.8182,1.5915,0.8466,0.2483,0.1374,5.7007,86.5566
wa037526,Eswatini,ludzeludze,2,1,0,20,Topsoil_CM,2020,23.5148,2.015,5.1428,2.454,1.3717,0.8053,0.2234,0.1458,10.8094,71.539
wa037527,Eswatini,ludzeludze,2,1,20,50,Subsoil_CM,2020,17.8386,1.4087,5.0971,2.3961,1.3305,0.7878,0.1947,0.1322,9.3123,74.8501
wa037528,Eswatini,ludzeludze,2,2,0,20,Topsoil_CM,2020,20.4634,1.6227,4.6634,2.2504,1.1987,0.7719,0.2128,0.1159,21.1032,61.1898
wa037529,Eswatini,ludzeludze,2,3,20,50,Subsoil_CM,2020,20.561,1.7552,5.0296,2.3451,1.2693,0.7917,0.212,0.1143,9.9781,73.9702
wa037530,Eswatini,ludzeludze,2,3,50,80,Subsoil_CM,2020,12.0526,1.1284,5.1778,2.3042,1.2406,0.7504,0.207,0.1239,10.7513,76.6476
wa037531,Eswatini,ludzeludze,2,4,0,20,Topsoil_CM,2020,28.812,2.5019,5.4079,8.1229,5.5332,2.1537,0.6063,0.1209,12.1679,68.8046
wa037532,Eswatini,ludzeludze,2,4,20,50,Subsoil_CM,2020,22.8952,1.9748,5.4965,7.768,4.9712,1.9134,0.4701,0.1163,10.3886,72.8578
wa037533,Eswatini,ludzeludze,2,5,0,20,Topsoil_CM,2020,23.1797,1.9887,5.0972,2.506,1.3652,0.8488,0.2074,0.1664,11.969,69.4928
wa037534,Eswatini,ludzeludze,2,5,20,50,Subsoil_CM,2020,19.5487,1.7064,5.0729,2.4312,1.401,0.7976,0.2328,0.133,13.3173,69.3936
wa037535,Eswatini,ludzeludze,2,7,0,20,Topsoil_CM,2020,25.6915,2.3225,5.0136,3.269,1.8729,1.0341,0.2755,0.16,13.4187,66.6161
wa037536,Eswatini,ludzeludze,2,7,20,50,Subsoil_CM,2020,20.3713,1.7399,4.9171,2.6295,1.5185,0.8411,0.2686,0.121,12.5018,71.9164
wa037537,Eswatini,ludzeludze,2,8,0,20,Topsoil_CM,2020,18.3726,1.4812,5.0088,2.3319,1.2847,0.8668,0.2033,0.138,13.4503,69.8811
wa037538,Eswatini,ludzeludze,2,8,20,50,Subsoil_CM,2020,16.4424,1.376,5.1281,2.211,1.2334,0.7442,0.2069,0.1348,13.6831,70.0929
wa037539,Eswatini,ludzeludze,2,8,50,80,Subsoil_CM,2020,9.1656,0.9743,5.3158,2.5804,1.4815,0.7777,0.2378,0.1699,17.6392,67.0101
wa037540,Eswatini,ludzeludze,2,12,0,20,Topsoil_CM,2020,19.6888,1.6656,4.9674,2.4545,1.3464,0.7985,0.2052,0.1297,10.2573,73.8303
wa037541,Eswatini,ludzeludze,2,13,0,20,Topsoil_CM,2020,16.4262,1.3239,4.8473,2.1898,1.2225,0.7144,0.2098,0.1047,24.2549,57.6157
wa037542,Eswatini,ludzeludze,2,13,20,50,Subsoil_CM,2020,15.1279,1.2142,4.7632,1.7385,0.8588,0.5916,0.1801,0.0975,24.9533,59.6492
wa037543,Eswatini,ludzeludze,2,15,20,50,Subsoil_CM,2020,20.5954,1.8994,5.1554,3.8142,2.4898,1.1472,0.3015,0.1188,8.4224,75.1031
wa037544,Eswatini,ludzeludze,3,1,0,20,Topsoil_CM,2020,15.5945,1.3515,5.1113,2.5058,1.2056,0.9042,0.2231,0.0996,19.0686,66.7627
wa037545,Eswatini,ludzeludze,3,2,0,20,Topsoil_CM,2020,18.2391,1.5561,4.9079,2.2178,1.0803,0.8254,0.2031,0.102,19.1955,67.3818
wa037546,Eswatini,ludzeludze,3,2,20,50,Subsoil_CM,2020,16.7162,1.4577,4.9162,2.309,1.0724,0.8385,0.2038,0.1056,13.2686,71.9174
wa037547,Eswatini,ludzeludze,3,3,20,50,Subsoil_CM,2020,15.7437,1.3595,5.284,5.4249,3.4138,1.3237,0.3663,0.1016,23.527,59.8033
wa037548,Eswatini,ludzeludze,3,3,8,110,Topsoil_CM,2020,9.1571,0.8493,5.4139,5.7422,3.8811,1.3618,0.331,0.1265,20.9882,66.0477
wa037549,Eswatini,ludzeludze,3,4,0,20,Topsoil_CM,2020,23.0511,1.8919,5.4365,6.1347,4.0151,1.6916,0.4687,0.1287,19.7407,61.2867
wa037550,Eswatini,ludzeludze,3,4,20,50,Subsoil_CM,2020,18.7336,1.4643,5.1208,3.5436,2.094,1.0209,0.3177,0.1224,12.3325,72.9674
wa037551,Eswatini,ludzeludze,3,5,0,20,Topsoil_CM,2020,20.6194,1.6536,4.9344,2.5443,1.2908,0.8958,0.2154,0.1194,15.0702,68.1516
wa037552,Eswatini,ludzeludze,3,6,0,20,Topsoil_CM,2020,20.5835,1.6085,4.7261,2.6666,1.3996,0.862,0.2535,0.12,12.3488,73.6978
wa037553,Eswatini,ludzeludze,3,10,0,20,Topsoil_CM,2020,17.7865,1.4381,5.1157,2.6487,1.4112,0.9068,0.2154,0.1214,11.6475,73.108
wa037554,Eswatini,ludzeludze,3,10,20,50,Subsoil_CM,2020,14.6973,1.1865,5.0781,2.4158,1.3686,0.7598,0.2096,0.1297,13.6878,72.3131
wa037555,Eswatini,ludzeludze,3,13,0,20,Topsoil_CM,2020,25.8718,2.2038,5.228,5.1128,3.1874,1.4997,0.3645,0.1156,15.3452,65.225
wa037556,Eswatini,ludzeludze,3,13,20,50,Subsoil_CM,2020,23.7668,1.9219,5.1566,4.5543,2.8573,1.2981,0.3336,0.12,15.5724,67.3277
wa037557,Eswatini,ludzeludze,3,13,50,80,Subsoil_CM,2020,13.2953,1.0659,5.2233,2.9497,1.7267,0.9405,0.2583,0.1228,18.5958,66.8822
wa037558,Eswatini,ludzeludze,3,14,0,20,Topsoil_CM,2020,21.9032,1.8262,4.7236,2.5325,1.2709,0.8087,0.2398,0.1177,10.21,75.0242
wa037559,Eswatini,ludzeludze,3,15,0,20,Topsoil_CM,2020,22.2408,1.8459,4.993,2.7853,1.4655,0.9075,0.2539,0.143,11.6641,70.9078
wa037560,Eswatini,ludzeludze,3,15,20,42,Subsoil_CM,2020,18.2589,1.4552,4.8528,2.4124,1.255,0.7846,0.2264,0.1266,16.4642,69.8391
wa037561,Eswatini,ludzeludze,4,2,0,20,Topsoil_CM,2020,3.6626,0.3404,6.2902,3.3478,1.947,1.0177,0.2087,0.0882,67.2742,18.5085
wa037562,Eswatini,ludzeludze,4,2,20,50,Subsoil_CM,2020,3.6541,0.3516,6.1455,2.9501,1.6474,0.9807,0.2119,0.0842,66.9161,19.5633
wa037563,Eswatini,ludzeludze,4,5,0,20,Topsoil_CM,2020,19.4519,1.6189,4.965,2.8475,1.5024,0.9403,0.2475,0.1099,26.4409,57.6569
wa037564,Eswatini,ludzeludze,4,5,20,50,Subsoil_CM,2020,18.2645,1.5772,5.0694,3.3609,1.7807,1.1761,0.2494,0.1032,11.3183,73.9289
wa037565,Eswatini,ludzeludze,4,6,0,17,Topsoil_CM,2020,22.2517,2.101,5.2911,6.7398,4.0867,2.2108,0.5548,0.24,15.4774,64.8946
wa037566,Eswatini,ludzeludze,4,7,0,20,Topsoil_CM,2020,26.2972,2.3324,5.0029,4.5256,2.7615,1.4308,0.4127,0.1177,11.2761,70.3511
wa037567,Eswatini,ludzeludze,4,7,20,50,Subsoil_CM,2020,19.6149,1.7496,5.1167,4.2399,2.5754,1.2846,0.3674,0.1204,9.7715,76.6982
wa037568,Eswatini,ludzeludze,4,10,0,20,Topsoil_CM,2020,22.2148,2.0969,5.1803,6.2798,3.7878,1.9493,0.5901,0.229,14.1676,67.5383
wa037569,Eswatini,ludzeludze,4,10,20,50,Subsoil_CM,2020,19.2861,1.8752,5.349,6.0584,3.6641,1.8631,0.4865,0.1812,15.75,68.1127
wa037570,Eswatini,ludzeludze,4,11,0,20,Topsoil_CM,2020,28.4615,2.684,5.005,5.6156,2.9587,1.4955,0.471,0.6414,31.4727,46.4726
wa037571,Eswatini,ludzeludze,4,12,0,20,Topsoil_CM,2020,21.6358,1.8804,5.155,3.9934,2.2582,1.2839,0.3275,0.1177,25.1954,55.154
wa037572,Eswatini,ludzeludze,4,14,0,20,Topsoil_CM,2020,21.4874,1.8586,5.1594,4.3549,2.4764,1.4,0.3502,0.1007,10.1226,72.8394
wa037573,Eswatini,ludzeludze,4,14,0,20,Topsoil_CM,2020,25.189,2.2763,5.0465,5.5958,3.4446,1.7533,0.5066,0.1706,14.2876,66.5871
wa037574,Eswatini,ludzeludze,4,14,20,50,Subsoil_CM,2020,20.9376,1.9522,4.9463,5.0717,3.1732,1.5395,0.4823,0.1719,12.614,71.9663
wa037575,Eswatini,ludzeludze,5,1,0,20,Topsoil_CM,2020,22.2717,2.0455,5.1928,2.969,1.68,0.9741,0.3273,0.1429,13.2633,69.0391
wa037576,Eswatini,ludzeludze,5,1,20,40,Subsoil_CM,2020,17.6836,1.4218,5.1997,2.826,1.5956,0.929,0.2478,0.1437,12.3478,70.8331
wa037577,Eswatini,ludzeludze,5,3,0,20,Topsoil_CM,2020,28.8399,2.5195,5.2015,3.554,2.0741,1.1055,0.3667,0.1664,13.8209,66.4973
wa037578,Eswatini,ludzeludze,5,3,20,50,Subsoil_CM,2020,22.2731,1.9803,5.2122,3.2336,1.8142,1.0388,0.2803,0.1543,12.6158,68.6981
wa037579,Eswatini,ludzeludze,5,5,0,20,Topsoil_CM,2020,24.183,1.9449,5.7781,8.4283,5.7325,2.2591,0.5834,0.1449,18.5685,56.4449
wa037580,Eswatini,ludzeludze,5,5,20,50,Subsoil_CM,2020,27.0169,2.2412,5.4883,9.635,6.3612,2.7173,0.714,0.2214,15.0588,62.1827
wa037581,Eswatini,ludzeludze,5,7,0,20,Topsoil_CM,2020,20.2716,1.8492,5.1073,4.1452,2.4407,1.3002,0.3652,0.1005,24.9486,53.1011
wa037582,Eswatini,ludzeludze,5,8,0,20,Topsoil_CM,2020,9.3944,0.8553,5.3981,3.4651,1.9634,1.1149,0.283,0.1826,9.6212,80.6807
wa037583,Eswatini,ludzeludze,5,8,20,50,Subsoil_CM,2020,7.3343,0.6899,5.5108,3.5132,2.0302,1.1789,0.2973,0.1785,10.3701,79.6612
wa037584,Eswatini,ludzeludze,5,11,0,20,Topsoil_CM,2020,28.9468,2.4424,5.104,3.5717,1.9983,1.0266,0.3646,0.1825,11.37,69.455
wa037585,Eswatini,ludzeludze,5,11,20,50,Subsoil_CM,2020,29.1491,2.511,5.0655,3.3006,1.9127,0.9929,0.3737,0.1678,13.5242,67.2912
wa037586,Eswatini,ludzeludze,5,12,20,50,Subsoil_CM,2020,21.3108,1.8708,5.2175,2.7659,1.5439,0.8659,0.2918,0.1392,10.3799,71.8532
wa037587,Eswatini,ludzeludze,5,14,0,20,Topsoil_CM,2020,18.8319,1.5765,5.2128,2.9689,1.7654,0.9924,0.3145,0.1496,11.9761,72.3898
wa037588,Eswatini,ludzeludze,5,15,0,20,Topsoil_CM,2020,29.3765,2.366,5.1766,3.3659,1.977,0.954,0.353,0.1316,11.1344,70.2623
wa037589,Eswatini,ludzeludze,5,15,20,35,Subsoil_CM,2020,23.8947,2.0538,5.229,3.2062,1.8951,0.944,0.3367,0.128,12.4672,69.3627
wa037590,Eswatini,ludzeludze,6,2,0,20,Topsoil_CM,2020,22.2568,1.8936,4.9689,3.5719,1.8188,1.2581,0.3007,0.1291,11.7446,70.6015
wa037591,Eswatini,ludzeludze,6,3,0,20,Topsoil_CM,2020,17.5552,1.5333,5.005,2.985,1.5462,1.0025,0.2645,0.1129,23.05,59.6138
wa037592,Eswatini,ludzeludze,6,3,20,50,Subsoil_CM,2020,15.3997,1.3779,5.0315,2.7602,1.4507,0.9437,0.2655,0.1178,21.2563,61.7422
wa037593,Eswatini,ludzeludze,6,6,0,20,Topsoil_CM,2020,16.2093,1.2932,4.9296,2.1185,1.0863,0.6784,0.203,0.1064,24.9794,58.8162
wa037594,Eswatini,ludzeludze,6,6,20,50,Subsoil_CM,2020,14.4353,1.1784,4.9398,1.8926,0.9844,0.6327,0.1829,0.1103,22.4688,64.6502
wa037595,Eswatini,ludzeludze,6,7,0,20,Topsoil_CM,2020,16.6534,1.6275,5.8396,6.0281,3.9984,1.774,0.5153,0.1436,22.6877,56.0978
wa037596,Eswatini,ludzeludze,6,7,20,35,Subsoil_CM,2020,13.9709,1.411,5.954,5.9346,3.9323,1.608,0.3948,0.1226,21.7115,59.0242
wa037597,Eswatini,ludzeludze,6,9,0,20,Topsoil_CM,2020,22.4924,1.9283,4.9255,2.5629,1.3664,0.8684,0.2182,0.1128,12.8562,72.0795
wa037598,Eswatini,ludzeludze,6,9,20,50,Subsoil_CM,2020,20.8078,1.7032,4.9144,2.5763,1.4184,0.8334,0.2249,0.1002,15.6255,70.1349
wa037599,Eswatini,ludzeludze,6,10,0,20,Topsoil_CM,2020,14.5739,1.2606,4.9407,2.6779,1.3956,0.881,0.2791,0.1261,23.4187,59.5816
wa037600,Eswatini,ludzeludze,6,10,20,50,Subsoil_CM,2020,14.0247,1.272,4.9641,2.8902,1.5498,0.9935,0.2564,0.1166,21.1533,61.8749
wa037601,Eswatini,ludzeludze,6,11,0,20,Topsoil_CM,2020,11.9895,1.0768,5.1145,2.7335,1.6139,0.9175,0.2415,0.1162,21.1676,62.5828
wa037602,Eswatini,ludzeludze,6,12,0,20,Topsoil_CM,2020,22.9282,2.0391,5.1268,4.7358,2.8365,1.4698,0.411,0.1337,16.9715,60.8922
wa037603,Eswatini,ludzeludze,6,14,0,20,Topsoil_CM,2020,14.2146,1.346,5.1202,2.5414,1.2915,0.9198,0.2042,0.1013,13.9418,71.3448
wa037604,Eswatini,ludzeludze,6,14,20,50,Subsoil_CM,2020,13.7234,1.2657,5.135,2.4605,1.294,0.8715,0.1962,0.0954,15.0095,70.6415
wa037605,Eswatini,ludzeludze,6,15,0,20,Topsoil_CM,2020,3.547,0.5818,5.281,3.5606,2.4436,1.0252,0.2529,0.4736,27.3991,51.9975
wa037606,Eswatini,ludzeludze,6,15,20,40,Subsoil_CM,2020,3.8692,0.6355,5.1943,3.6466,2.4354,1.1152,0.2659,0.4981,23.2572,55.8569
wa037607,Eswatini,ludzeludze,7,1,0,20,Topsoil_CM,2020,21.924,1.8511,5.2316,3.7204,2.143,1.0844,0.3735,0.118,10.2283,72.8069
wa037608,Eswatini,ludzeludze,7,1,20,40,Subsoil_CM,2020,23.8272,2.0634,5.2579,3.7227,2.1627,1.077,0.3968,0.1291,8.911,75.2708
wa037609,Eswatini,ludzeludze,7,2,0,20,Topsoil_CM,2020,17.2396,1.4423,5.1511,2.8476,1.5876,0.9311,0.2377,0.1497,9.3911,78.5991
wa037610,Eswatini,ludzeludze,7,2,20,50,Subsoil_CM,2020,15.228,1.2136,5.1696,2.8057,1.5578,0.9162,0.2347,0.1633,8.7764,79.8353
wa037611,Eswatini,ludzeludze,7,4,0,20,Topsoil_CM,2020,22.4697,1.9261,4.9055,2.906,1.5147,0.9379,0.2463,0.1147,9.646,74.5579
wa037612,Eswatini,ludzeludze,7,4,20,50,Subsoil_CM,2020,21.283,1.6093,4.8392,2.4696,1.3559,0.814,0.224,0.1107,13.0039,71.7734
wa037613,Eswatini,ludzeludze,7,5,20,50,Subsoil_CM,2020,24.3928,2.1498,5.0661,3.135,1.8559,0.8572,0.3277,0.1078,10.7531,70.9408
wa037614,Eswatini,ludzeludze,7,6,0,20,Topsoil_CM,2020,23.7362,2.0034,5.1654,4.7773,2.8121,1.4044,0.4636,0.2613,22.4695,51.4063
wa037615,Eswatini,ludzeludze,7,6,20,50,Subsoil_CM,2020,18.9534,1.6485,5.1725,4.1833,2.5525,1.1796,0.3404,0.1045,32.2105,43.715
wa037616,Eswatini,ludzeludze,7,7,0,20,Topsoil_CM,2020,15.0452,1.2395,4.8934,2.2155,1.1896,0.7295,0.2272,0.0969,14.7405,72.5155
wa037617,Eswatini,ludzeludze,7,8,0,20,Topsoil_CM,2020,32.7657,2.4967,5.178,4.3865,2.6005,1.2837,0.4126,0.1082,14.9274,65.2047
wa037618,Eswatini,ludzeludze,7,8,20,50,Subsoil_CM,2020,28.6498,2.2915,5.0781,3.8823,2.1807,1.1534,0.4009,0.1233,12.4265,70.2063
wa037619,Eswatini,ludzeludze,7,11,0,20,Topsoil_CM,2020,21.6883,1.5826,5.1652,4.2741,2.8244,1.0977,0.3253,0.1239,20.7793,67.6211
wa037620,Eswatini,ludzeludze,7,11,20,40,Subsoil_CM,2020,23.0634,1.9227,5.2713,3.7059,2.1982,1.111,0.415,0.104,8.4982,75.2807
wa037621,Eswatini,ludzeludze,7,12,0,20,Topsoil_CM,2020,22.8692,1.8646,5.2364,3.8465,2.2458,1.1111,0.3744,0.1119,14.4588,69.5729
wa037622,Eswatini,ludzeludze,7,12,20,50,Subsoil_CM,2020,22.2669,1.8803,5.2508,3.651,2.0253,1.1083,0.3885,0.1135,9.8843,74.1206
wa037623,Eswatini,ludzeludze,7,13,0,20,Topsoil_CM,2020,29.1444,2.4001,5.2118,3.9697,2.3392,1.1315,0.3905,0.1117,9.4728,72.535
wa037624,Eswatini,ludzeludze,7,13,20,35,Subsoil_CM,2020,27.748,2.3477,5.2268,4.1536,2.4244,1.194,0.4569,0.1225,9.6158,72.6691
wa037625,Eswatini,ludzeludze,8,1,0,20,Topsoil_CM,2020,11.1495,1.0589,5.4036,4.0948,2.5299,1.2821,0.2876,0.0974,35.0473,38.609
wa037626,Eswatini,ludzeludze,8,1,20,50,Subsoil_CM,2020,8.6431,0.811,5.3814,3.7384,2.1228,1.2752,0.2297,0.0928,31.1989,45.0103
wa037627,Eswatini,ludzeludze,8,1,50,80,Subsoil_CM,2020,7.68,0.7438,5.4646,3.6814,2.2375,1.1822,0.2396,0.0936,35.0599,40.8527
wa037628,Eswatini,ludzeludze,8,2,0,20,Topsoil_CM,2020,27.2415,2.4612,5.0597,4.2713,2.2167,1.4953,0.3378,0.1365,16.2826,62.8674
wa037629,Eswatini,ludzeludze,8,5,0,20,Topsoil_CM,2020,23.7072,2.0191,5.0654,4.1999,2.3662,1.2634,0.3131,0.1201,13.9278,66.7125
wa037630,Eswatini,ludzeludze,8,6,0,20,Topsoil_CM,2020,16.663,1.402,4.9879,2.6366,1.3611,0.9036,0.2099,0.0908,9.626,76.2261
wa037631,Eswatini,ludzeludze,8,6,20,40,Subsoil_CM,2020,14.4303,1.3065,5.0087,2.8251,1.5779,0.9241,0.2084,0.0882,13.3503,73.4297
wa037632,Eswatini,ludzeludze,8,7,0,20,Topsoil_CM,2020,16.0291,1.4574,4.606,1.8952,0.9255,0.6288,0.1771,0.1127,14.5521,71.4798
wa037633,Eswatini,ludzeludze,8,8,20,50,Subsoil_CM,2020,19.5593,1.614,4.9118,2.5003,1.3322,0.8409,0.2282,0.1085,8.9832,75.6271
wa037634,Eswatini,ludzeludze,8,9,0,20,Topsoil_CM,2020,11.84,1.0544,5.0922,2.6548,1.426,0.9264,0.2142,0.1046,8.7949,78.1807
wa037635,Eswatini,ludzeludze,8,10,0,20,Topsoil_CM,2020,10.6826,1.0276,5.6217,4.1962,2.5379,1.3889,0.2928,0.1037,28.624,50.2131
wa037636,Eswatini,ludzeludze,8,10,20,50,Subsoil_CM,2020,8.0573,0.7507,5.5974,3.9114,2.2513,1.4071,0.3097,0.1463,26.8935,51.8896
wa037637,Eswatini,ludzeludze,8,11,0,20,Topsoil_CM,2020,14.8527,1.3106,5.0591,3.6479,2.2247,1.1104,0.3157,0.0948,21.774,61.7939
wa037638,Eswatini,ludzeludze,8,15,0,15,Topsoil_CM,2020,18.0753,1.6385,4.9654,3.1253,1.616,1.13,0.2409,0.1147,14.5955,67.7806
wa037639,Eswatini,ludzeludze,9,1,0,20,Topsoil_CM,2020,15.8764,1.4308,4.9436,2.9981,1.5868,1.0225,0.2555,0.0996,8.4962,78.5468
wa037640,Eswatini,ludzeludze,9,2,0,20,Topsoil_CM,2020,2.6068,0.2705,6.3454,3.2065,1.9945,0.9369,0.2617,0.1715,53.7202,41.5553
wa037641,Eswatini,ludzeludze,9,3,20,50,Subsoil_CM,2020,12.512,1.159,5.1846,3.134,2.018,0.8902,0.2262,0.0862,26.7861,51.2787
wa037642,Eswatini,ludzeludze,9,5,0,20,Topsoil_CM,2020,18.7371,1.6966,5.0523,3.2345,1.7287,1.1579,0.256,0.1127,9.3769,77.3823
wa037643,Eswatini,ludzeludze,9,6,0,20,Topsoil_CM,2020,10.574,0.9247,5.0032,1.9389,0.9984,0.7058,0.1976,0.1021,12.4929,76.5564
